,skill_group_category,isic_section_name,aggregated_num
0,Business Skills,"Arts, entertainment and recreation ",630
1,Business Skills,Financial and insurance activities,710
2,Business Skills,Information and communication,1420
3,Business Skills,Manufacturing,1590
4,Business Skills,Mining and quarrying,265
5,Business Skills,Professional scientific and technical activities,2075
6,Disruptive Tech Skills,"Arts, entertainment and recreation ",85
7,Disruptive Tech Skills,Financial and insurance activities,80
8,Disruptive Tech Skills,Information and communication,270
9,Disruptive Tech Skills,Manufacturing,255
10,Disruptive Tech Skills,Mining and quarrying,45
11,Disruptive Tech Skills,Professional scientific and technical activities,305
12,Soft Skills,"Arts, entertainment and recreation ",260
13,Soft Skills,Financial and insurance activities,170
14,Soft Skills,Information and communication,440
15,Soft Skills,Manufacturing,355
16,Soft Skills,Mining and quarrying,55
17,Soft Skills,Professional scientific and technical activities,655
18,Specialized Industry Skills,"Arts, entertainment and recreation ",1280
19,Specialized Industry Skills,Financial and insurance activities,350
20,Specialized Industry Skills,Information and communication,1445
21,Specialized Industry Skills,Manufacturing,1635
22,Specialized Industry Skills,Mining and quarrying,360
23,Specialized Industry Skills,Professional scientific and technical activities,2540
24,Tech Skills,"Arts, entertainment and recreation ",380
25,Tech Skills,Financial and insurance activities,290
26,Tech Skills,Information and communication,980
27,Tech Skills,Manufacturing,710
28,Tech Skills,Mining and quarrying,125
29,Tech Skills,Professional scientific and technical activities,1020
